NoOfChunksRetrieved,Name,Type,Query,Answer,Result,Correctness,RetrievedDocs
12,test_chunk_10__1-2668352-14,md,Name the incumbent for lost re-election democratic-republican hold,"The incumbent for ""Lost re-election Democratic-Republican hold"" is John G. Jackson, representing Virginia 1, and John W. Eppes, representing Virginia 16.",Daniel Udree,FALSE,"test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668352-14,md,Name the district for first elected 1810,"The district for ""First elected 1810"" is Pennsylvania 8, with William Piper as the incumbent.",Pennsylvania 8,TRUE,"test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668352-19,md,What party does James Pleasants belong to?,"According to the provided text, James Pleasants belongs to the Democratic-Republican party. This is indicated in the table for Virginia 17, where his party is listed as ""Democratic-Republican"".",Democratic-Republican party,TRUE,"test_chunk_10__1-2668352-19.md, test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668243-8.md"
12,test_chunk_10__1-2655016-9,md,"What is the series # on airdate September 21, 2002?","The provided text does not contain any information about air dates in September 2002. It only contains data from June 2010 and June 2002, and beyond.",123,FALSE,"test_chunk_10__1-2655016-9.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-2655016-9,md,"what is the series number of the ""harry bladder special""?","The provided text does not contain any information about a ""harry bladder special"". Therefore, I cannot determine its series number.",131,FALSE,"test_chunk_10__1-2655016-9.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26565917-2,md,what was the name of episode 5?,"""Seven Seconds""",Seven Seconds,TRUE,"test_chunk_10__1-2655016-9.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26565917-2.md"
12,test_chunk_10__1-26565917-2,md,when did 14.55 people watch?,"According to the provided text, 14.55 people watched on October 11, 2007.","October 10, 2007",TRUE,"test_chunk_10__1-26631526-1.md, test_chunk_10__1-26565917-2.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26593762-2,md,Who is the captain of Cardiff City?,"This is a tricky one! The provided text contains information about football clubs (Cardiff City) and music artists/bands, but it **does not contain the name of the captain of Cardiff City.** 

Therefore, I cannot answer your question using only the information given.",Craig Bellamy,FALSE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26593762-2,md,How many kit makers are there for Louis Carey's team?,"This is a trick question! The provided text does not mention Louis Carey or any team he might be associated with, nor does it contain any information about kit makers. Therefore, it's impossible to answer the question based on the given information.",1,FALSE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md
"
12,test_chunk_10__1-26593762-2,md,Who is the captain of Neil Warnock's team?,Adel Taylor.,Adel Taarabt,FALSE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md,test_chunk_10__1-26609690-1.md"
12,test_chunk_10__1-26593762-2,md,Who is the captain of Dave Jones' team?,Craig Bellamy.,Craig Bellamy,TRUE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26609690-1.md"
12,test_chunk_10__1-26593762-2,md,Who is the chairman of Mark Robins team?,Patrick Kevin.,Patrick Cyrne,FALSE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26609690-1.md"
12,test_chunk_10__1-2668243-8,md,What was the result for Henry Daniel's race?,"Henry Daniel's race, in Kentucky 1, resulted in him being re-elected with 66.6% of the vote. His opponent, Micajah Harrison, received 33.4%.",Re-elected,TRUE,"test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668336-19.md, test_chunk_10__1-26609690-1.md"
12,test_chunk_10__1-2668243-8,md,When was Henry Daniel first elected?,"According to the provided text, Henry Daniel was first elected in 1827.",1827,TRUE,"test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668336-19.md"
12,test_chunk_10__1-2668243-8,md,How many first elected years are provided for Thomas P. Moore?,"According to the provided text, Thomas P. Moore was first elected in 1822.",1,FALSE,"test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668243-8,md,What district is Joseph Lecompte in office in?,Joseph Lecompte is in office is in Kentucky 6.,Kentucky 6,TRUE,"test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668243-20.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-2668264-22,md,What party does joel r. poinsett represent?,"According to the provided text, Joel R. Poinsett represents the Jacksonian Party. The text states, ""Joel R. Poinsett | Incordiales | 2010s | Rock | Dec.21,2010 | No | No"".",Jackson Republican,TRUE,"test_chunk_10__1-2668264-22.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-2668243-8.md"
12,test_chunk_10__1-2668264-22,md,What was the first elected year that featured incumbent andrew r. govan?,"Based on the provided text, Andrew R. Govan was first elected in 1822 (special).",1822,TRUE,"test_chunk_10__1-2668264-22.md, test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668243-20.md"
12,test_chunk_10__1-2668336-17,md,In what district is the incumbent Charles Fisher?,Charles Fisher is the incumbent for North Carolina 10.,North Carolina 10,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-26565917-2.md, test_chunk_10__1-26631526-1.md "
12,test_chunk_10__1-2668336-17,md,First elected in 1807 1817 in what district?,Lemuel Sawyer in North Carolina 1,North Carolina 1,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668243-20.md"
12,test_chunk_10__1-2668336-17,md,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% is for what incumbent?,The provided context indicates that Charles Fisher is the incumbent for Pennsylvania,Charles Fisher,FALSE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668336-17,md,"In district North Carolina 10, what are the candidates?","In district North Carolina 10, the candidates were Charles Fisher (DR) and W. Jones (F). The election result showed Charles Fisher (DR) receiving 65.1% of the vote, while W. Jones (F) received 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668264-22.md, test_chunk_10__1-2668336-19.md"
12,test_chunk_10__1-2668336-17,md,Candiates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had what result?,Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had the result of being re-elected.,	Re-elected,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668336-17,md,The district North Carolina 10 have what candidates?,"According to the provided text, the candidates for North Carolina 10 were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668264-22.md"
12,test_chunk_10__1-26609690-1,md,What is the smallest top 10 figure?,0,0,TRUE,"test_chunk_10__1-26631526-1.md, test_chunk_10__1-26609690-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26609690-1,md,What is the earliest year on the chart?,2000s,2003,FALSE,"test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26609690-1,md,"Which team had $15,785 in winnings?",RB,RB1 Motorsports,FALSE,"test_chunk_10__1-26609690-1.md, test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26609690-1,md,How many positions are there for RB1 Motorsports?,"This question cannot be answered from the provided text. The text lists music releases and artists, not job openings.",1,FALSE,"test_chunk_10__1-26609690-1.md,test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26609690-1,md,What is the highest number of wins?,The highest number of wins is 34.,0,FALSE,"test_chunk_10__1-26609690-1.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26631526-1,md,Name the release date xbox 360 for sea wolf,"Sea Wolf - ""You're A Wolf"" was released on March 14, 2010.","Mar.14,2010",FALSE,"test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-2668243-20,md,What party was represented by incumbent Richard Coulter?,"According to the provided text, Richard Coulter was a Jacksonian.",Jacksonian,FALSE,"test_chunk_10__1-2668243-20.md, test_chunk_10__1-2668264-22.md, test_chunk_10__1-2668352-14.md"
